Most Common 20000 Words Taiwan
1,我们,我們,wo3 men5,we
2,可以,可以,ke3 yi3,"can,may"
3,自己,自己,zi4 ji3,"lonesome,number_one,own,ego,self,oneself,name"
4,他们,他們,ta1 men5,they
5,因为,因為,yin1 wei4,"conj.: because,for,on account of"
6,什么,什麽,she2 me5,"anything,what"
7,问题,問題,wen4 ti2,"problem,mishap,query,job,interface,question,inquiry,matter,enquiry,trouble,issue,worry,subject,topic,hang-up,business,quaere"
8,所以,所以,suo3 yi3,"conj.: so,therefore,as a result"
9,台湾,臺灣,tai2 wan1,Taiwan
10,学生,學生,xue2 sheng1,"academic,pupil,pup,tutee,follower,scholar,schoolchild,schoolboy,alumnus,disciple,learner,scholastic,student"
11,表示,表示,biao3 shi4,"demonstrate,exhibit,prove,show,extend,manifest,express,stamp,signify,mark,witness,look,give,denote,evince,expression,bespeak,say,profess,mean,offer,utter,infer,indicate,represent,read,speak,refer,give tongue to,intend,be,shew,pay,stand_for,establish,stand for,present,render,betoken"
12,公司,公司,gong1 si1,"place of business,business organization,incorporation,establishment,business concern,office,concern,business establishment,business,enterprise,company,corporation"
13,如果,如果,ru2 guo3,conj.: if
14,社会,社會,she4 hui4,"community,society,monde,social,public"
15,因此,因此,yin1 ci3,"conj.: therefore,consequently"
16,但是,但是,dan4 shi4,"conj.: but,however,yet,still"
17,工作,工作,gong1 zuo4,"work,job"
18,觉得,覺得,jue2 de5,"imagine,guess,believe,reckon,suspect,suppose,think,listen,feel,consider,think_of,appear,conceive"
19,使用,使用,shi3 yong4,"use,employ,apply"
20,使用,使用,shi3 yong4,"use,employ,apply"
21,这些,這些,zhe4 xie1,det.: these
22,由于,由於,you2 yu1,conj.:  owing/due/thanks to
23,时候,時候,shi2 hou4,"day,moment,(a point in) time,(duration of) time,time"
24,知道,知道,zhi1 dao4,"tell,have,ken,understand,infer,wis,learn,cognize,gather,know,be aware of,wise up,savvy,mind,realize"
25,这样,這樣,zhe4 yang4,"so,such,like this,this way"
26,认为,認為,ren4 wei2,"find,treat,deem,suppose,look_on,repute,discount,esteem,accredit,feel,account,calculate,estimate,take to be,reckon,expect,think,hold,trust,recognise,opine,sound off,adjudge,consideration,consider,regard as,look upon,believe_in,disbelieve,allow,conceive,regard,call,imagine,view,forecast,believe,suspect,rate,animadvert,look on,listen,speak up,figure,c"
27,时间,時間,shi2 jian1,"moment,day,clock time,fourth_dimension,relativity,hour,duration,time,when,while,temporal,economy"
28,可能,可能,ke3 neng2,"probably,maybe"
29,中国,中國,zhong1 guo2,"junk,Cathay,China,china"
30,美国,美國,mei3 guo2,"House_of_Representatives,the United States of America,US,U.S.A.,bench,Columbia,Yankeeland,U.S.,United States,Democrat,Yankeedom,USA,America,United States of America"
31,系统,系統,xi4 tong3,"lineage,filiation,scheme,pedigree,system,formation,superstructure,programme,organization,succession,tract,system of rules,organisation,program"
32,政府,政府,zheng4 fu3,"sirkar,state,country,nation,governmental,body politic,government,administration,civil order,polity,commonwealth,regime,res publica,land"
33,大家,大家,da4 jia1,"sundry,great master,rich and influential family,pontiff,all of us,everyone,authority,master,distinguished family"
34,国家,國家,guo2 jia1,"sirkar,state,country,patria,a people,nationality,nation,republic,soli,body politic,clime,national,civil order,polity,commonwealth,land,res publica"
35,许多,許多,xu3 duo1,"lot,scores,lots,sight,pot,heap,quantity,plenty,slews,ton,battalion,many,scads,tidy sum,power,spate,chunk,pile,crowd,vastness,batch,lashings,whole lot,mint,mound,pocketful,large number,trunkful,ream,mickle,great deal,flock,mass,slew,heaps,a lot of,piles,whole slew,mess,raff,slue,gobs,much,lotta,multitude,volume,wad,store,raft,tons,satiety,rafts,doze"
36,生活,生活,sheng1 huo2,"life,existence,livelihood"
37,已经,已經,yi3 jing1,already
38,大学,大學,da4 xue2,"university,college"
39,研究,研究,yan2 jiu4,"study,research"
40,活动,活動,huo2 dong4,"activity,maneuver,behavior"
41,世界,世界,shi4 jie4,"mundane,creation,world,monde,orb,nature,domain"
42,希望,希望,xi1 wang4,"hope,wish"
43,方式,方式,fang1 shi4,"path,plan,pattern,tenor,system,method,manner,style,way,guise,fashion,wise,means,shape,how,embodiment,agency,gate,mode,sort"
44,环境,環境,huan2 jing4,"circumambiency,environmental,circumstances,environment,entourage,surround,atmosphere,setting,surroundings,ambiance,condition,context,circumstance,surrounding,frame,milieu,ambient,consideration,environs,medium,ambience"
45,一些,一些,yi1 xie1,"det.: some, a few, a little"
46,必须,必須,bi4 xu1,must
47,文化,文化,wen2 hua4,"civilization,literacy,acculturation,Kultur,vandalism,cultural,education,schooling,culture"
48,孩子,孩子,hai2 zi5,"kid,issue,chap,daughter,children,sonny,son or daughter,child,spawn,boy,kipper,son"
49,没有,沒有,mei2 you3,"not have,there is not,be without"
50,不能,不能,bu4 neng2,"must/may/can not,not be allowed"
51,开始,開始,kai1 shi3,"begin,start"
52,开始,開始,kai1 shi3,"begin,start"
53,开始,開始,kai1 shi3,"begin,start"
54,不同,不同,bu4 tong2,different
55,网路,網路,wang3 lu4,"WWW,net,network,Internet,meshwork,web,world wide web,mesh,reticulation"
56,日本,日本,ri4 ben3,"Nippon,Cipango,Nihon,Japan,japan,Japanese"
57,中心,中心,zhong1 xin1,"center,heart,hub"
58,虽然,雖然,sui1 ran2,"conj.: though,although"
59,重要,重要,zhong4 yao4,"important,significant,major"
60,重要,重要,zhong4 yao4,"important,significant,major"
61,地方,地方,di4 fang1,"country,soil,terrain,part,clime,way,territory,room,neighbourhood,tinderbox,locality (as distinct from the central administrat,child,tract,province,position,respect,where,region,space,place,local"
62,进行,進行,jin4 xing2,"be in progress,go on,carry on/out"
63,进行,進行,jin4 xing2,"be in progress,go on,carry on/out"
64,关係,關係,guan1 xi4,"relation,bearing,impact,membership credentials,""backdoor connections"""
65,市场,市場,shi4 chang3,"bourse,bazar,marketplace,grocery store,agora,bazaar,securities industry,grocery,piazza,plaza,rialto,mart,pitch,market"
66,老师,老師,lao3 shi1,"rabbi,professor,swami,instructor,teacher,mast"
67,提供,提供,ti2 gong1,"feed,offer,put_up,afford,proffer,set_up,capitalize,bring_forward,sponsor,extend,ply,provision,sustain,equip,supply,cough_up,bear,render,furnish,cater,billet,provide"
68,学校,學校,xue2 xiao4,"seminary,schoolhouse,educational institution,school,institution"
69,应该,應該,ying1 gai1,"should,ought to"
70,指出,指出,zhi3 chu1,"point,point_out,catch_out,bespeak,indicate,denote,point out (that),note,show,designate,point out"
71,经济,經濟,jing1 ji4,"economy,financial condition,income"
72,其他,其他,qi2 ta1,"det.: others,the rest,other,else"
73,发展,發展,fa1 zhan3,"develop,expand,grow"
74,发展,發展,fa1 zhan3,"develop,expand,grow"
75,教育,教育,jiao4 yu1,education
76,成为,成為,cheng2 wei2,"find,join,comprise,turn to,commemorate,sample,entomb,come_up,commence,get hold,learn,add up,necessitate,run,make up,constitute,make,form,come,amount,represent,fall,presage,change,be,turn,turn into,become,line up,come up,shape,portend,foretell,get"
77,非常,非常,fei1 chang2,"extraordinary,unusual,special,very,extremely,highly"
78,方面,方面,fang1 mian4,"side,aspect,sector,part,light,facet,behalf,way,respect,direction,bearing,field,phase,sphere,angle,hand"
79,很多,很多,hen3 duo1,det.:
80,然后,然後,ran2 hou4,"therewith,and so,and_then,and then,thereupon,after that,so,then,with that"
81,发现,發現,fa1 xian4,"find,discover"
82,电脑,電腦,dian4 nao3,"electronic computer,computery,data processor,information processing system,computer"
83,一样,一樣,yi1 yang4,"same,equal,similar"
84,而且,而且,er2 qie3,"conj.: furthermore,and"
85,不过,不過,bu2 guo4,"conj.: but, however, only"
86,无法,無法,wu2 fa3,"nohow,unable to,unable,cannot"
87,企业,企業,qi4 ye4,"proposition,business enterprise,business organization,business concern,concern,commercial enterprise,endeavour,endeavor,industry,business,project,corporation,enterprise"
88,服务,服務,fu2 wu4,"be in the service of,serve"
89,服务,服務,fu2 wu4,"be in the service of,serve"
90,不会,不會,bu2 hui4,won't
91,台湾,臺灣,tai2 wan1,Taiwan
92,空间,空間,kong1 jian1,"elbow room,allowance,margin,roomage,open air/sky/space,road,leeway,way,open air,sheets,room,tolerance,opening,clear,sky,spacial,interspace,vacuity,spatial,dimension,open sky/space,space,place,vacuum"
93,看到,看到,kan4 dao4,"view,receive,ken,observe,lamp,catch,see,take in,watch,chatter away,lay_eyes_on,boast,brag,shoot the breeze,spy,catch sight of, catch sight of"
94,如何,如何,ru2 he2,how
95,国内,國內,guo2 nei4,"interior (of country),interior,home,intestine,internal,domestic"
96,对于,對於,dui4 yu1,"(in regard) to,toward,at,for"
97,以及,以及,yi3 ji2,"conj.: as well as, along with, and"
98,之后,之後,zhi1 hou4,"later,behind,at the back of,after"
99,可是,可是,ke3 shi4,"conj.: but, yet, however"
100,人员,人員,ren2 yuan2,"strength,personnel,force,staff"
101,产品,產品,chan3 pin3,"baby,brand,output,product,produce,end product,merchandise,fruitage,growth,manufacture,wares,production"
102,资讯,資訊,zi1 xun4,"stuff,message,information,news,info"
103,资料,資料,zi1 liao4,"food,source,info,means,data,information,material,datum,data point,matter"
104,比较,比較,bi3 jiao3,"relatively,fairly"
105,先生,先生,xian1 sheng1,"doctor of Chinese medicine,Don,mulla,Ms.,sir.,teacher,gentleman,gospodin,Signor,signor,fortune-teller,babu,baboo,Herr,Mister,bey,mister,bwana,husband,siree,buckra,sirrah,senor,guv,sahib,Mr.,rabbi,don,signore,Dan,sir,m'sieur,effendi,Tuan,baas,Monsieur,lording,monsieur,doctor,Mr,milord,Mynheer,signior,esquire,bookkeeper,Senor,rabboni,Senhor,sieur,sen"
106,除了,除了,chu2 le5,"except,besides"
107,大陆,大陸,da4 lu4,Ch. mainland
108,需要,需要,xu1 yao4,"need,want,require,demand"
109,地区,地區,di4 qu1,"section,country,area,latitude,zone,terrain,parts,locality,sector,province,prefecture,region,district,faubourg"
110,技术,技術,ji4 shu4,"mechanics,know-how,prowess,science,Minerva,superior skill,art,competence,technology,craft,craftsmanship,skill,education,technique,artistry,engineering,technological,equipment,technical"
111,特别,特別,te4 bie2,"unusual,specially"
112,其实,其實,qi2 shi2,"as a matter of fact,actually,in fact"
113,国际,國際,guo2 ji4,international
114,不要,不要,bu2 yao4,"never,noway,don't want,don't (do sth.)"
115,发生,發生,fa1 sheng1,"happen,occur,take place"
116,发生,發生,fa1 sheng1,"happen,occur,take place"
117,参加,參加,can1 jia1,"join,attend,take part in,give (advice/etc.)"
118,一定,一定,yi1 ding4,must
119,其中,其中,qi2 zhong1,"among,of them,in it,among them,which,them,det.: it,in,in which"
120,台北,臺北,tai2 bei3,"capital of Nationalist China,capital of Republic of China on Taiwan,Taipei"
121,包括,包括,bao1 kuo4,"consist_of,consist of,subtend,embrace,comprise,incorporate,embody,involve,count,subsume,take_in,comprehend,incorporation,include,comprize,run,cover,package,consist in"
122,造成,造成,zao4 cheng2,"make_for,give rise to,create,set_up,strike,creation,cause,contribute,bring_about,procure,give,bring about,cut_out,necessitate,shape,present,bring_forth,generate,yield,make,breed"
123,喜欢,喜歡,xi3 huan1,"like,love,be fond of,be happy/elated"
124,喜欢,喜歡,xi3 huan1,"like,love,be fond of,be happy/elated"
125,出现,出現,chu1 xian4,"appear,arise,emerge"
126,出现,出現,chu1 xian4,"appear,arise,emerge"
127,政治,政治,zheng4 zhi4,"paternalism,trouble,government,policy,political relation,political science,polity,politics,political affairs,political"
128,单位,單位,dan1 wei4,"department,unit,denomination,module,building block,unit of measurement,monad,unit (in measurement or organization)"
129,一直,一直,yi1 zhi2,"e'er,away,continuously,all the way,right,forever,all_along,always,the whole way,all along,straight,slap,through,ever,evermore"
130,是否,是否,shi4 fou3,"whether or not,is it so or not"
131,当然,當然,dang1 ran2,"certainly,of course"
132,处理,處理,chu3 li3,"handle,deal with,dispose of,process"
133,处理,處理,chu3 li3,"handle,deal with,dispose of,process"
134,历史,歷史,li4 shi3,"past records,historical,history"
135,了解,了解,liao3 jie3,"understand,comprehend,find out,acquaint oneself with"
136,了解,了解,liao3 jie3,"understand,comprehend,find out,acquaint oneself with"
137,怎么,怎麽,zen3 me5,how
138,机会,機會,ji1 hui4,"scouth,occasion,good luck,hap,liberty,fortune,opportunity,chance,joss,hazard,happy chance,probability,luck,scope,room,break,turn,opening"
139,所有,所有,suo3 you3,det.: all
140,只要,只要,zhi3 yao4,"conj.: so long as,provided"
141,朋友,朋友,peng2 you3,"amigo,connections,kith,friend,boy,crony,ami,boy/girl friend,companion,mate,boy friend or girl friend,compadre,boy friend,Mac,paisano,matey,old_boy,sport,folks,pard,hearty,Kamerad,cocker,cobber,girl friend,pardner,company"
142,甚至,甚至,shen4 zhi4,"even (to the point of),so much so that"
143,情况,情況,qing2 kuang4,"event,things,state of affairs,circumstantiality,case,circumstances,way,plight,experimental condition,streak,military situation,matter,condition,mood,circumstance,context,occasion,thing,instance,affair,shape,situation,juncture,consideration"
144,还是,還是,hai2 shi4,"still,nevertheless"
145,方法,方法,fang1 fa3,"know-how,plan,attack,system,stepping-stone,manner,method,gateway,idea,measure,way,guise,key,wise,quomodo,plan of attack,tack,machinery,process,avenue,modus,how,means,channel,gate,approach,agency,gamesmanship,mode,medium,sort"
146,任何,任何,ren4 he2,"aught,det.: any"
147,经验,經驗,jing1 yan4,experience
148,艺术,藝術,yi4 shu4,"beaux-arts,aesthetical,artistic production,artistic,ars,art,academy,aesthetic,artistic creation,skill,craft,artistry,esthetic"
149,你们,你們,ni3 men5,"you,you (plural),you-all"
150,主要,主要,zhu3 yao4,"main,chief,principal,major"
151,妈妈,媽媽,ma1 ma1,"mummy,mammy,ma,mother,mamma,mum,mommy,female parent,mom,Mama,mater,mama,momma"
152,增加,增加,zeng1 jia1,"increase,raise,add"
153,增加,增加,zeng1 jia1,"increase,raise,add"
154,提出,提出,ti2 chu1,"put forward,pose,raise"
155,提出,提出,ti2 chu1,"put forward,pose,raise"
156,为什么,為什麽,wei4 she2 me5,"why,why?,how come,why is it that?,whereat,whereto"
157,计画,計畫,ji4 hua4,"plan,project,program"
158,利用,利用,li4 yong4,"use,utilize,take advantage of,exploit"
159,利用,利用,li4 yong4,"use,utilize,take advantage of,exploit"
160,东西,東西,dong1 xi1,"thing,creature"
161,设计,設計,she4 ji4,"design,plan"
162,之间,之間,zhi1 jian1,"among, between"
163,成长,成長,cheng2 zhang3,"grow up,mature"
164,成长,成長,cheng2 zhang3,"grow up,mature"
165,能够,能夠,neng2 gou4,"can,able,would,may"
166,决定,決定,jue2 ding4,"decide,resolve,make up one's mind,determine"
167,学习,學習,xue2 xi2,"study,learn,emulate"
168,学习,學習,xue2 xi2,"study,learn,emulate"
169,时代,時代,shi2 dai4,"day,period,a period in one's life,epoch,present time,historical period,time,chapter,period in one's life,modern times,historic period,contemporary world,times,era,modern world,age"
170,完成,完成,wan2 cheng2,"fill in,finish out,fulfil,practice,complete,finish,encompass,clear_up,top_off,cleave,top off,accomplishment,make out,effect,perfective,fulfill,go through,exercise,discharge,fill out,completion,end,run,bring ... to fruition,round_out,achieve,execute,round out,make,cap off,accomplish,practise,follow through,come,finalize,fulfilment,dispatch,bring ..."
171,相当,相當,xiang1 dang1,"quite,fairly,considerably"
172,同学,同學,tong2 xue2,"class fellow,fellow student,condisciple,classmate,schoolmate,schoolfellow,form of address used in speaking to a student"
173,能力,能力,neng2 li4,"department,potency,ability,acquisition,acquirement,capacity,performance,oomph,sufficiency,energy,competence,accomplishment,size,might,faculty,hand,coequal,efficiency,inner resources,capability,giftie,attainment,capableness,zip,skill,competency,power"
174,别人,別人,bie2 ren2,"others,other people,another person"
175,生命,生命,sheng1 ming4,"breath,god,head,anima,days,organism,blood,life,living thing,skin,longevity,being,vital,life form"
176,会议,會議,hui4 yi4,"synod,moot,conference,board,convocation,soviet,congress,talks,indaba,negotiation,junta,group discussion,convention,meeting place,session,council,rendezvous,colloquy,coming together,powwow,seance,meeting,forum,consultation,roll-up,get-together,assembly"
177,容易,容易,rong2 yi4,easy
178,开发,開發,kai1 fa1,"develop,open up,exploit"
179,开发,開發,kai1 fa1,"develop,open up,exploit"
180,民众,民眾,min2 zhong4,"civil,crowd,masses,populace,rank_and_file,the masses,the masses of the people,the populace,demos,mob,multitude,plebs,commons,the common people,the people,million,public"
181,事情,事情,shi4 qing2,"proposition,pie,shebang,thing,affair,occasions,undertaking,concern,question,business,schmear,matter"
182,事实,事實,shi4 shi2,"mood,circumstance,fact,factual,reality,verity,case,deed,sooth,troth,actuality,truth,matter,matter of fact"
183,有关,有關,you3 guan1,be related
184,组织,組織,zu3 zhi1,"tissue,nerve,weave,organization,organized system"
185,建立,建立,jian4 li4,"establish,set up,found"
186,建立,建立,jian4 li4,"establish,set up,found"
187,相关,相關,xiang1 guan1,"cognate,relational,interrelate,associated,be interrelated,relevant,related,be mutually related"
188,产生,產生,chan3 sheng1,"come into being,produce,engender,emerge"
189,产生,產生,chan3 sheng1,"come into being,produce,engender,emerge"
190,业者,業者,ye4 zhe3,"dealer,interest"
191,解决,解決,jie3 jue2,"solve,resolve,settle,dispose of,finish off"
192,解决,解決,jie3 jue2,"solve,resolve,settle,dispose of,finish off"
193,完全,完全,wan2 quan2,"completely,fully,wholly,absolutely"
194,的话,的話,de5 hua4,conj.: if
195,接受,接受,jie1 shou4,"receive (honors,have,receive,acknowledge,sweep up,espouse,etc.),come to grips,adopt,embrace,greet,welcome,hook on,seize on,take up,accede,taken,entertain,latch on,buy,fasten on,swallow,imbibe,accept,receive (honors/etc.),undergo,get to grips,take,adapt,acceptance,thole"
196,建筑,建築,jian4 zhu2,"building,structure,edifice,architecture"
197,一般,一般,yi1 ban1,"general,ordinary,common"
198,推动,推動,tui1 dong4,"push forward,promote"
199,推动,推動,tui1 dong4,"push forward,promote"
200,过程,過程,guo4 cheng2,"unconscious process,mechanism,process,act,round,course"
201,管理,管理,guan3 li3,"manage,supervise,take care of"
202,管理,管理,guan3 li3,"manage,supervise,take care of"
203,功能,功能,gong1 neng2,"functional,niche,function,competence,capacity,anatomy"
204,要求,要求,yao1 qiu2,"request,demand"
205,小朋友,小朋友,xiao3 peng2 you3,"child (adult address to child),little boy,children,little boy/girl,girl,little girl,little boy or girl,child"
206,教授,教授,jiao4 shou4,professor
207,我国,我國,wo3 guo2,our country
208,告诉,告訴,gao4 su4,"tell,preach,notify,impart,inform,represent,apprize,send word,share,advise,give notice,apprise,assure,let know"
209,内容,內容,nei4 rong2,"subject_matter,content,cognitive content,internal,contents,mental object,meat,substance,matter,lining"
210,结果,結果,jie2 guo3,"result,outcome,consequence"
211,调查,調查,diao4 cha2,"investigate,look into,survey"
212,调查,調查,diao4 cha2,"investigate,look into,survey"
213,家庭,家庭,jia1 ting2,"hearthstone,background,fireside,establishment,household,hearth,domestic,hearthside,menage,home,family unit,family,house"
214,成立,成立,cheng2 li4,"found,establish,be tenable,hold water"
215,成立,成立,cheng2 li4,"found,establish,be tenable,hold water"
216,选择,選擇,xuan3 ze2,"select,opt"
217,经营,經營,jing1 ying2,"manage,run,engage in"
218,经营,經營,jing1 ying2,"manage,run,engage in"
219,然而,然而,ran2 er2,"conj.: even so,but"
220,父母,父母,fu4 mu3,"parental,parents,father and mother,folks"
221,人类,人類,ren2 lei4,"man,wight,human_being,human,human race,mankind,individual,human species,Homo_sapiens,populace,creature,hominid,world,mortality,microcosm,humans,humanitarianism,humanity,humanness,human beings/species,people,species,humankind,human beings,public,mortal"
222,至于,至於,zhi4 yu1,as for/to
223,尤其,尤其,you2 ji2,especially
224,配合,配合,pei4 he2,"coordinate, cooperate"
225,配合,配合,pei4 he2,"coordinate, cooperate"
226,进入,進入,jin4 ru4,"go_into,get_in,debouch,get in,go into,move into,come_into,pass,step_in,lapse,get_into,set in,go in,get into,kick in,penetrate,intromission,pierce,come_in,come in,enter,entry,sink,impenetrate"
227,例如,例如,li4 ru2,"for instance/example,e.g.,such as"
228,讨论,討論,tao3 lun4,"to discuss,to take something up with someone,to talk about"
229,讨论,討論,tao3 lun4,"to discuss,to take something up with someone,to talk about"
230,作品,作品,zuo4 pin3,"writing,musical composition,whole kit and caboodle,works (of literature,artwork,kit and caboodle,product,whole works,creation,full treatment,kit and boodle,whole kit and boodle,works (of literature/art),composition,thing,piece of music,workpiece,output,art),written material,opus,whole shebang,whole caboodle,production,whole kit,piece,workmanship,wo"
231,情形,情形,qing2 xing2,"circumstance,trimness,event,trim,instance,state of affairs,case,circumstances,status,situation,condition"
232,资源,資源,zi1 yuan2,"resource,natural resources,mine,resources"
233,原因,原因,yuan2 yin1,"origin,causation,reason,wherefore,causal,breeder,spore,cause,causal agent,whence,causal agency,occasion,root,subject,causality,why,starter"
234,运动,運動,yun4 dong4,"sports,athletics,exercise,movement,campaign"
235,观念,觀念,guan1 nian4,"conception,intension,theory,philosophy,idolum,connotation,idea,sense,presentation,notion,concept,construct,intellection,presentment,thought,notional,conceit"
236,软体,軟體,ruan3 ti3,software
237,品质,品質,pin3 zhi2,"calibre,appraisal,caliber,character,self,intrinsic,brew,quality,timber,sort"
238,经过,經過,jing1 guo4,"pass,go through,undergo"
239,如此,如此,ru2 ci3,"thus,like this,such"
240,精神,精神,jing1 shen2,"god,guts,heart,pneuma,consciousness,vigor,life,energy,vim,courage,esprit,moral,get-up-and-go,ginger,vitality,Psyche,psyche,spunk,gumption,juice,sand,mind,mental,mens,mickey,mettle,nature,grit,oomph,genius,vigour,substance,psychic,backbone,nous,nerve,pazazz,essence,pep,spirit,inward,drive,push,soul,gist"
241,影响,影響,ying3 xiang3,influence
242,好像,好像,hao3 xiang4,"seem,be like"
243,参与,參與,can1 yu1,participate in
244,参与,參與,can1 yu1,participate in
245,以后,以後,yi3 hou4,"afterwards,later,future,in the future,hereafter"
246,于是,於是,yu1 shi4,"conj.: thereupon,hence,consequently,as a result"
247,部分,部分,bu4 fen4,"partial,department,section,partialness,slice,pars,part,det.: part,percent,partage,sphere,component,divvy,segment,portion,fraction,sector,chapter,share,percentage,piece,division,sectional,parcel"
248,另外,另外,ling4 wai4,"conj.: in addition, besides, moreover"
249,公园,公園,gong1 yuan2,"common,green,garden,commons,park"
250,透过,透過,tou4 guo4,via
251,训练,訓練,xun4 lian4,training
252,努力,努力,nu3 li4,"make great effort,try hard"
253,努力,努力,nu3 li4,"make great effort,try hard"
254,研究,研究,yan2 jiu4,"research,study"
255,具有,具有,ju4 you3,"be provided with,have,have got,possess,hold,possession,carry,inhere,bear"
256,共同,共同,gong4 tong2,"common,joint"
257,所谓,所謂,suo3 wei4,so-called
258,行为,行為,xing2 wei2,"fact,demeanor,form,deportment,dealing,behavior,doings,course,act,point,goings-on,demeanour,procedure,lapse,going,bearing,turn,behaviour,activity,ongoing,thing,human action,conduct,commitment,human activity,behavioral,agency,deed,comportment,action"
259,合作,合作,he2 zuo4,"cooperate,collaborate,work together"
260,合作,合作,he2 zuo4,"cooperate,collaborate,work together"
261,目标,目標,mu4 biao1,"polestar,objective,goal,bourn,object,meaning,aim,end point,target,cause,landmark,butt,lodestar,bull's eye,mark,tee,cynosure,end,bell ringer,loadstar,quaesitum,destination"
262,起来,起來,qi3 lai2,[aspect]
263,考虑,考慮,kao3 lu4,"think over,consider"
264,考虑,考慮,kao3 lu4,"think over,consider"
265,意见,意見,yi4 jian4,"latitude,point_of_view,estimation,sight,conceit,verdict,hypothesis,attitude,estimate,possibility,judgement,appraisal,ground,slant,differing opinion,ruling,complaint,thinking,suggestion,comment,advisement,mind,apprehension,say,vote,impression,deliverance,view,understanding,feeling,idea,notion,sentiment,judgment,advice,current,opinion,advert,theory,v"
266,办法,辦法,ban4 fa3,"road,expedient,policy,agency,measure,way,method,means"
267,音乐,音樂,yin1 yue4,music
268,厂商,廠商,chang3 shang1,"factory owner,factories and stores,firm,maker,business organization,business concern,manufacturing business,concern,manufacturer,business"
269,受到,受到,shou4 dao4,"experience,receive,come in for,suffer,undergo,come_in_for,be given,come_to,be subjected to"
270,一切,一切,yi1 qie4,"det.: everything, every"
271,或是,或是,huo4 shi4,"conj.: or,perhaps"
272,中央,中央,zhong1 yang1,central authorities (of state/party/etc.)
273,女性,女性,nu3 xing4,"lady,female sex,womankind,feminie,female,sex,petticoat,femininity,female person,woman,she,patroness,womanhood,fair,feminine"
274,教学,教學,jiao1 xue2,teach and study
275,教学,教學,jiao1 xue2,teach and study
276,获得,獲得,huo4 de2,"find,cop,acquirement,come_into,gain,draw,pick_up,pull,achievement,score,procure,come_by,get hold,purchase,nab,come upon,derive,latch,incur,achieve,make,bring,receive,arrive,come_out,pocket,obtain,luck into,sack,win,enter upon,pick up,garner,harvest,attain,come up,line up,extract,secure,possess,earn,reap,accrue,cover,take,acquire,get,arrive_at"
277,真的,真的,zhen1 de5,"really,truly,indeed"
278,国小,國小,guo2 xiao3,"primary/elementary school,primary school"
279,部份,部份,bu4 fen4,"composition,segment,section,side,portion,slice,proportion,part,det.: part,share,component,division,phase,place,piece"
280,工程,工程,gong1 cheng2,"process,construction,engineering,engineering project,project"
281,女人,女人,nu3 ren2,"jade,crumpet,female,female person,Gill,bitch,chick,fair,squaw,womenfolk,adult female,doll,momma,wench,skirt,womankind,girl,jill,wife,broad,petticoat,sister,woman,bimbo,bird,jane,she,hen,hairpin,dame,women"
282,举行,舉行,ju3 xing2,hold (meeting/etc.)
283,举行,舉行,ju3 xing2,hold (meeting/etc.)
284,只是,只是,zhi3 shi4,"merely,only,just,simply be"
