Most Common Modern Characters
1,的,的,de/di2/di4,"(possessive particle)/of, really and truly, aim/clear"
2,一,一,yi1,one/1/single/a(n)
3,是,是,shi4,is/are/am/yes/to be
4,不,不,bu4/bu2,(negative prefix)/not/no
5,了,了,le/liao3/liao4,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place"
6,在,在,zai4,(located) at/in/exist
7,人,人,ren2,man/person/people
8,有,有,you3,to have/there is/there are/to exist/to be
9,我,我,wo3,I/me/myself
10,他,他,ta1,he/him
11,这,這,zhe4/zhei4,"this/these, this/these/(sometimes used before a measure word, especially in Beijing)"
12,个,個,ge4,(a measure word)/individual
13,们,們,men,(plural marker for pronouns and a few animate nouns)
14,中,中,zhong1/zhong4,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)"
15,来,來,lai2,to come
16,上,上,shang4,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up"
17,大,大,da4/dai4,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor"
18,为,為,wei2/wei4,"act as/take...to be/to be/to do/to serve as/to become, because of/for/to"
19,和,和,he2/he4/huo2/huo4,"and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend"
20,国,國,guo2,country/state/nation
21,地,地,de/di4,"(subor. part. adverbial)/-ly, earth/ground/field/place/land"
22,到,到,dao4,to (a place)/until (a time)/up to/to go/to arrive
23,以,以,yi3,to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
24,说,說,shui4/shuo1,"persuade (politically), to speak/to say"
25,时,時,shi2,o'clock/time/when/hour/season/period
26,要,要,yao1/yao4,"demand/ask/request/coerce, important/vital/to want/to be going to/must"
27,就,就,jiu4,at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake
28,出,出,chu1,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)"
29,会,會,hui4/kuai4,"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting"
30,可,可,ke3,can/may/able to/certain(ly)/to suit/(particle used for emphasis)
31,也,也,ye3,also/too
32,你,你,ni3,you
33,对,對,dui4,couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
34,生,生,sheng1,to be born/to give birth/life/to grow
35,能,能,neng2,can/may/capable/energy/able
36,而,而,er2,and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)
37,子,子,zi3/zi,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)"
38,那,那,na3/na4/nei4,"how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)"
